strain	isotype
AB1	AB1
AB2	CB4858
AB3	CB4858
AB4	CB4858
BRC20067	BRC20067
CB3191	N2
CB3192	N2
CB3193	N2
CB3194	N2
CB3195	N2
CB3196	CB4854
CB3197	CB4854
CB3198	CB4853
CB3199	CB4857
CB4507	N2
CB4852	CB4852
CB4854	CB4854
CB4856	CB4856
CB4932	CB4932
CX11254	CX11254
CX11258	CB4858
CX11259	CX11292
CX11262	CX11262
CX11264	CX11264
CX11268	CX11315
CX11271	CX11271
CX11276	CX11276
CX11278	CB4858
CX11285	CX11285
CX11292	CX11292
CX11294	CX11262
CX11305	CB4858
CX11307	CX11307
CX11314	CX11314
CX11315	CX11315
CX11316	CX11276
CX11317	CB4858
CX11319	CX11271
CX11321	CX11285
DL200	DL200
DL226	DL226
DL238	DL238
DR1344	CB4851
DR1345	CB4857
DR1350	CB4853
ECA243	CB4851
ECA244	N2
ECA245	CB4853
ECA246	CB4853
ECA247	CB4858
ECA248	CB4855
ECA249	CB4857
ECA250	CB4857
ECA251	CB4858
ECA252	ECA252
ECA253	N2
ECA254	N2
ECA255	N2
ECA257	N2
ECA258	PB306
ECA259	PB306
ECA260	CB4856
ECA36	ECA36
ED3005	ED3005
ED3010	ED3012
ED3011	ED3011
ED3012	ED3012
ED3014	ED3012
ED3015	ED3012
ED3017	ED3017
ED3019	ED3017
ED3020	ED3017
ED3021	ED3005
ED3023	ED3012
ED3024	ED3012
ED3028	ED3012
ED3057	ED3073
ED3040	ED3040
ED3042	ED3048
ED3043	ED3052
ED3046	ED3046
ED3048	ED3048
ED3049	ED3049
ED3052	ED3052
ED3072	ED3073
ED3073	ED3073
ED3075	ED3073
ED3077	ED3077
EG4346	EG4347
EG4347	EG4347
EG4348	EG4349
EG4349	EG4349
EG4680	EG4946
EG4689	EG4946
EG4724	EG4724
EG4725	EG4725
EG4945	EG4946
EG4946	EG4946
EG4948	EG4946
EG4951	EG4946
EG4957	EG4946
GXW1	GXW1
JT11362	JT11398
JT11398	JT11398
JT11399	JT11398
JU1026	JU310
JU1037	JU310
JU1039	JU310
JU1040	JU310
JU1088	JU1088
JU1171	MY23
JU1172	JU1172
JU1200	JU1200
JU1204	JU310
JU1206	JU310
JU1207	JU1212
JU1212	JU1212
JU1213	JU1213
JU1214	JU1212
JU1218	JU1242
JU1230	JU1242
JU1242	JU1242
JU1243	JU1242
JU1246	JU1246
JU1395	JU1395
JU1400	JU1400
JU1401	JU1409
JU1409	JU1409
JU1410	JU1409
JU1411	JU1409
JU1440	JU1440
JU1482	JU1213
JU1484	JU1491
JU1491	JU1491
JU1511	JU1581
JU1516	JU1581
JU1522	JU1581
JU1530	JU1530
JU1563	CB4852
JU1566	JU1568
JU1568	JU1568
JU1580	JU1580
JU1581	JU1581
JU1582	JU1581
JU1586	JU1586
JU1652	JU1652
JU1896	JU1896
JU2001	JU2001
JU2007	JU2007
JU2316	JU2316
JU2464	JU2464
JU2466	JU2466
JU2467	JU2464
JU2468	JU2464
JU2513	JU2513
JU2519	JU2519
JU2522	JU2522
JU2526	JU2526
JU258	JU258
JU262	JU310
JU263	JU310
JU299	JU310
JU300	JU310
JU301	JU310
JU302	JU310
JU303	JU310
JU305	JU310
JU306	JU310
JU307	JU310
JU309	JU310
JU310	JU310
JU311	JU311
JU312	JU311
JU313	JU311
JU314	JU311
JU315	JU311
JU316	JU311
JU317	JU311
JU318	JU311
JU319	JU311
JU321	JU311
JU322	JU323
JU323	JU323
JU342	JU323
JU346	JU346
JU347	JU323
JU360	JU360
JU361	JU367
JU362	JU360
JU363	JU360
JU364	JU360
JU366	JU360
JU367	JU367
JU368	JU360
JU369	JU360
JU370	JU360
JU371	JU367
JU393	JU393
JU394	JU394
JU395	JU792
JU396	JU792
JU397	JU397
JU398	JU397
JU399	JU394
JU400	JU394
JU401	JU397
JU402	JU397
JU406	JU406
JU407	JU406
JU438	JU310
JU440	JU440
JU531	JU1213
JU533	JU1213
JU561	JU561
JU563	JU561
JU622	JU792
JU642	JU642
JU692	JU367
JU693	JU367
JU694	JU367
JU751	JU751
JU774	JU774
JU775	JU775
JU778	JU778
JU782	JU782
JU792	JU792
JU799	JU775
JU801	JU360
JU829	JU830
JU830	JU830
JU847	JU847
JU848	JU847
KR314	KR314
LKC34	LKC34
LSJ1	LSJ1
MY1	MY1
MY10	MY10
MY11	MY10
MY12	MY10
MY13	MY10
MY14	MY23
MY15	MY23
MY16	MY16
MY17	MY10
MY18	MY18
MY19	MY10
MY2	MY23
MY20	MY10
MY21	MY10
MY22	MY10
MY23	MY23
MY3	MY10
MY4	MY10
MY5	MY10
MY6	MY18
MY7	MY10
MY8	MY10
MY9	MY10
N2	N2
NIC1	NIC1
NIC166	NIC166
NIC195	NIC195
NIC196	NIC195
NIC197	NIC195
NIC198	NIC195
NIC199	NIC199
NIC2	NIC2
NIC200	NIC199
NIC207	NIC207
NIC231	NIC231
NIC232	NIC231
NIC236	NIC236
NIC237	NIC236
NIC242	NIC242
NIC251	NIC251
NIC252	NIC252
NIC255	NIC255
NIC256	NIC256
NIC258	NIC258
NIC259	NIC259
NIC260	NIC260
NIC261	NIC261
NIC262	NIC262
NIC263	NIC256
NIC265	NIC265
NIC266	NIC266
NIC267	NIC267
NIC268	NIC268
NIC269	NIC269
NIC270	NIC267
NIC271	NIC271
NIC272	NIC272
NIC273	NIC272
NIC274	NIC274
NIC275	NIC275
NIC276	NIC276
NIC277	NIC277
NIC3	NIC3
NIC4	NIC3
PB303	PB303
PS2025	PS2025
PX174	RC301
PX176	N2
PX178	PX179
PX179	PX179
QG2075	QG2075
QG536	QG536
QG537	QG536
QG538	QG536
QG556	QG556
QG557	QG557
QG558	QG556
QW947	QW947
QX1211	QX1211
QX1212	QX1212
QX1213	QX1212
QX1214	QX1212
QX1215	QX1211
QX1216	QX1211
QX1218	QX1233
QX1233	QX1233
QX1791	QX1791
QX1792	QX1792
QX1793	QX1793
QX1794	QX1794
RC301	RC301
RW7000	CB4851
TR388	N2
TR389	N2
WN2001	WN2001
WN2002	WN2002
WN2003	WN2002
WN2010	WN2001
WN2011	WN2001
WN2013	WN2001
WN2014	WN2001
WN2016	WN2001
WN2017	WN2001
WN2018	WN2001
WN2019	WN2001
WN2020	WN2001
WN2021	WN2001
