sample_i	sample_j	discordance	number_of_sites	concordance
AB2	AB1	86077	2982631	0.971141
AB3	AB1	77512	2823862	0.972551
AB3	AB2	490	2838297	0.999827
AB4	AB1	89151	3015655	0.970437
AB4	AB2	523	3021709	0.999827
AB4	AB3	350	2853904	0.999877
BRC20067	AB1	62238	2760803	0.977457
BRC20067	AB2	49896	2709456	0.981584
BRC20067	AB3	46705	2633438	0.982265
BRC20067	AB4	52241	2732878	0.980884
BRC20113	AB1	74404	3019890	0.975362
BRC20113	AB2	57856	2970872	0.980526
BRC20113	AB3	51973	2820558	0.981574
BRC20113	AB4	60575	2998131	0.979796
BRC20113	BRC20067	355	2791747	0.999873
BRC20231	AB1	175984	2860681	0.938482
BRC20231	AB2	158763	2838726	0.944072
BRC20231	AB3	148947	2701086	0.944857
BRC20231	AB4	161050	2863919	0.943766
BRC20231	BRC20067	151782	2630465	0.942298
BRC20231	BRC20113	168327	2853983	0.94102
BRC20263	AB1	117672	2933188	0.959883
BRC20263	AB2	92002	2903973	0.968319
BRC20263	AB3	83939	2759041	0.969577
BRC20263	AB4	94299	2931157	0.967829
BRC20263	BRC20067	80346	2691252	0.970145
BRC20263	BRC20113	89886	2937534	0.969401
BRC20263	BRC20231	163143	2817347	0.942093
CB4852	AB1	53680	3070175	0.982516
CB4852	AB2	67411	3007533	0.977586
CB4852	AB3	60178	2844193	0.978842
CB4852	AB4	70792	3044422	0.976747
CB4852	BRC20067	33336	2789922	0.988051
CB4852	BRC20113	38821	3059139	0.98731
CB4852	BRC20231	171993	2876038	0.940198
CB4852	BRC20263	101450	2955909	0.965679
CB4854	AB1	78648	2983025	0.973635
CB4854	AB2	68371	2924907	0.976625
CB4854	AB3	63588	2828614	0.97752
CB4854	AB4	71267	2954964	0.975882
CB4854	BRC20067	46389	2760783	0.983197
CB4854	BRC20113	52705	2976524	0.982293
CB4854	BRC20231	170233	2810913	0.939439
CB4854	BRC20263	99089	2885594	0.965661
CB4854	CB4852	59057	3009612	0.980377
CB4856	AB1	188942	2925619	0.935418
CB4856	AB2	181704	2888289	0.937089
